Age,Gender,Race,Other Category,Option,Prompt
senior citizen,nonbinary,Asian,education,a higher degree,A Asian senior citizen person who identifies as nonbinary has a higher degree
senior citizen,nonbinary,Black,religion,spiritual,A Black senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,Black,religion,non spirtual,A Black senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,Black,finstat,below the poverty line,A Black senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,Black,finstat,working class,A Black senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,Black,finstat,middle class,A Black senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,Black,finstat,upper class,A Black senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,Black,circumstance,in a rush,A Black senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,Black,circumstance,not in a rush,A Black senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,Black,marrystat,married,A Black senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,Black,marrystat,divorced,A Black senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,Black,marrystat,widowed,A Black senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,Black,marrystat,single,A Black senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,Black,education,no high school diploma,A Black senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,Black,education,a high school graduate,A Black senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,Black,education,an associates degree / some college,A Black senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,Black,education,a college degree,A Black senior citizen person who identifies as nonbinary has a college degree
senior citizen,nonbinary,Black,education,a higher degree,A Black senior citizen person who identifies as nonbinary has a higher degree
senior citizen,nonbinary,Hispanic / Latine,religion,spiritual,A Hispanic / Latine senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,Hispanic / Latine,finstat,working class,A Hispanic / Latine senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,Hispanic / Latine,finstat,middle class,A Hispanic / Latine senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,Hispanic / Latine,finstat,upper class,A Hispanic / Latine senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,Hispanic / Latine,marrystat,married,A Hispanic / Latine senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,Hispanic / Latine,marrystat,single,A Hispanic / Latine senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,Hispanic / Latine,education,a college degree,A Hispanic / Latine senior citizen person who identifies as nonbinary has a college degree
senior citizen,nonbinary,Hispanic / Latine,education,a higher degree,A Hispanic / Latine senior citizen person who identifies as nonbinary has a higher degree
senior citizen,nonbinary,Pacific Islander,religion,spiritual,A Pacific Islander senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,Pacific Islander,religion,non spirtual,A Pacific Islander senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,Pacific Islander,finstat,below the poverty line,A Pacific Islander senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,Pacific Islander,finstat,working class,A Pacific Islander senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,Pacific Islander,finstat,middle class,A Pacific Islander senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,Pacific Islander,finstat,upper class,A Pacific Islander senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,Pacific Islander,circumstance,in a rush,A Pacific Islander senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,Pacific Islander,circumstance,not in a rush,A Pacific Islander senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,Pacific Islander,marrystat,married,A Pacific Islander senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,Pacific Islander,marrystat,divorced,A Pacific Islander senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,Pacific Islander,marrystat,widowed,A Pacific Islander senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,Pacific Islander,marrystat,single,A Pacific Islander senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,Pacific Islander,education,no high school diploma,A Pacific Islander senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,Pacific Islander,education,a high school graduate,A Pacific Islander senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,Pacific Islander,education,an associates degree / some college,A Pacific Islander senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,Pacific Islander,education,a college degree,A Pacific Islander senior citizen person who identifies as nonbinary has a college degree
senior citizen,nonbinary,Pacific Islander,education,a higher degree,A Pacific Islander senior citizen person who identifies as nonbinary has a higher degree
senior citizen,nonbinary,White,religion,spiritual,A White senior citizen person who identifies as nonbinary is spiritual
senior citizen,nonbinary,White,religion,non spirtual,A White senior citizen person who identifies as nonbinary is non spirtual
senior citizen,nonbinary,White,finstat,below the poverty line,A White senior citizen person who identifies as nonbinary is below the poverty line
senior citizen,nonbinary,White,finstat,working class,A White senior citizen person who identifies as nonbinary is working class
senior citizen,nonbinary,White,finstat,middle class,A White senior citizen person who identifies as nonbinary is middle class
senior citizen,nonbinary,White,finstat,upper class,A White senior citizen person who identifies as nonbinary is upper class
senior citizen,nonbinary,White,circumstance,in a rush,A White senior citizen person who identifies as nonbinary is in a rush
senior citizen,nonbinary,White,circumstance,not in a rush,A White senior citizen person who identifies as nonbinary is not in a rush
senior citizen,nonbinary,White,marrystat,married,A White senior citizen person who identifies as nonbinary is married
senior citizen,nonbinary,White,marrystat,divorced,A White senior citizen person who identifies as nonbinary is divorced
senior citizen,nonbinary,White,marrystat,widowed,A White senior citizen person who identifies as nonbinary is widowed
senior citizen,nonbinary,White,marrystat,single,A White senior citizen person who identifies as nonbinary is single
senior citizen,nonbinary,White,education,no high school diploma,A White senior citizen person who identifies as nonbinary has no high school diploma
senior citizen,nonbinary,White,education,a high school graduate,A White senior citizen person who identifies as nonbinary has a high school graduate
senior citizen,nonbinary,White,education,an associates degree / some college,A White senior citizen person who identifies as nonbinary has an associates degree / some college
senior citizen,nonbinary,White,education,a college degree,A White senior citizen person who identifies as nonbinary has a college degree
senior citizen,nonbinary,White,education,a higher degree,A White senior citizen person who identifies as nonbinary has a higher degree
senior citizen,male,Native American,religion,spiritual,A Native American senior citizen person who identifies as male is spiritual
senior citizen,male,Native American,religion,non spirtual,A Native American senior citizen person who identifies as male is non spirtual
senior citizen,male,Native American,finstat,below the poverty line,A Native American senior citizen person who identifies as male is below the poverty line
senior citizen,male,Native American,finstat,working class,A Native American senior citizen person who identifies as male is working class
senior citizen,male,Native American,finstat,middle class,A Native American senior citizen person who identifies as male is middle class
senior citizen,male,Native American,finstat,upper class,A Native American senior citizen person who identifies as male is upper class
senior citizen,male,Native American,circumstance,in a rush,A Native American senior citizen person who identifies as male is in a rush
senior citizen,male,Native American,circumstance,not in a rush,A Native American senior citizen person who identifies as male is not in a rush
senior citizen,male,Native American,marrystat,married,A Native American senior citizen person who identifies as male is married
senior citizen,male,Native American,marrystat,divorced,A Native American senior citizen person who identifies as male is divorced
senior citizen,male,Native American,marrystat,widowed,A Native American senior citizen person who identifies as male is widowed
senior citizen,male,Native American,marrystat,single,A Native American senior citizen person who identifies as male is single
senior citizen,male,Native American,education,no high school diploma,A Native American senior citizen person who identifies as male has no high school diploma
senior citizen,male,Native American,education,a high school graduate,A Native American senior citizen person who identifies as male has a high school graduate
senior citizen,male,Native American,education,an associates degree / some college,A Native American senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,Native American,education,a college degree,A Native American senior citizen person who identifies as male has a college degree
senior citizen,male,Native American,education,a higher degree,A Native American senior citizen person who identifies as male has a higher degree
senior citizen,male,Asian,religion,spiritual,A Asian senior citizen person who identifies as male is spiritual
senior citizen,male,Asian,religion,non spirtual,A Asian senior citizen person who identifies as male is non spirtual
senior citizen,male,Asian,finstat,below the poverty line,A Asian senior citizen person who identifies as male is below the poverty line
senior citizen,male,Asian,finstat,working class,A Asian senior citizen person who identifies as male is working class
senior citizen,male,Asian,finstat,middle class,A Asian senior citizen person who identifies as male is middle class
senior citizen,male,Asian,finstat,upper class,A Asian senior citizen person who identifies as male is upper class
senior citizen,male,Asian,circumstance,in a rush,A Asian senior citizen person who identifies as male is in a rush
senior citizen,male,Asian,circumstance,not in a rush,A Asian senior citizen person who identifies as male is not in a rush
senior citizen,male,Asian,marrystat,married,A Asian senior citizen person who identifies as male is married
senior citizen,male,Asian,marrystat,divorced,A Asian senior citizen person who identifies as male is divorced
senior citizen,male,Asian,marrystat,widowed,A Asian senior citizen person who identifies as male is widowed
senior citizen,male,Asian,marrystat,single,A Asian senior citizen person who identifies as male is single
senior citizen,male,Asian,education,no high school diploma,A Asian senior citizen person who identifies as male has no high school diploma
senior citizen,male,Asian,education,a high school graduate,A Asian senior citizen person who identifies as male has a high school graduate
senior citizen,male,Asian,education,an associates degree / some college,A Asian senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,Asian,education,a college degree,A Asian senior citizen person who identifies as male has a college degree
senior citizen,male,Asian,education,a higher degree,A Asian senior citizen person who identifies as male has a higher degree
senior citizen,male,Black,religion,spiritual,A Black senior citizen person who identifies as male is spiritual
senior citizen,male,Black,religion,non spirtual,A Black senior citizen person who identifies as male is non spirtual
senior citizen,male,Black,finstat,below the poverty line,A Black senior citizen person who identifies as male is below the poverty line
senior citizen,male,Black,finstat,working class,A Black senior citizen person who identifies as male is working class
senior citizen,male,Black,finstat,middle class,A Black senior citizen person who identifies as male is middle class
senior citizen,male,Black,finstat,upper class,A Black senior citizen person who identifies as male is upper class
senior citizen,male,Black,circumstance,in a rush,A Black senior citizen person who identifies as male is in a rush
senior citizen,male,Black,circumstance,not in a rush,A Black senior citizen person who identifies as male is not in a rush
senior citizen,male,Black,marrystat,married,A Black senior citizen person who identifies as male is married
senior citizen,male,Black,marrystat,divorced,A Black senior citizen person who identifies as male is divorced
senior citizen,male,Black,marrystat,widowed,A Black senior citizen person who identifies as male is widowed
senior citizen,male,Black,marrystat,single,A Black senior citizen person who identifies as male is single
senior citizen,male,Black,education,no high school diploma,A Black senior citizen person who identifies as male has no high school diploma
senior citizen,male,Black,education,a high school graduate,A Black senior citizen person who identifies as male has a high school graduate
senior citizen,male,Black,education,an associates degree / some college,A Black senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,Black,education,a college degree,A Black senior citizen person who identifies as male has a college degree
senior citizen,male,Black,education,a higher degree,A Black senior citizen person who identifies as male has a higher degree
senior citizen,male,Hispanic / Latine,religion,spiritual,A Hispanic / Latine senior citizen person who identifies as male is spiritual
senior citizen,male,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine senior citizen person who identifies as male is non spirtual
senior citizen,male,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine senior citizen person who identifies as male is below the poverty line
senior citizen,male,Hispanic / Latine,finstat,working class,A Hispanic / Latine senior citizen person who identifies as male is working class
senior citizen,male,Hispanic / Latine,finstat,middle class,A Hispanic / Latine senior citizen person who identifies as male is middle class
senior citizen,male,Hispanic / Latine,finstat,upper class,A Hispanic / Latine senior citizen person who identifies as male is upper class
senior citizen,male,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine senior citizen person who identifies as male is in a rush
senior citizen,male,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine senior citizen person who identifies as male is not in a rush
senior citizen,male,Hispanic / Latine,marrystat,married,A Hispanic / Latine senior citizen person who identifies as male is married
senior citizen,male,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine senior citizen person who identifies as male is divorced
senior citizen,male,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine senior citizen person who identifies as male is widowed
senior citizen,male,Hispanic / Latine,marrystat,single,A Hispanic / Latine senior citizen person who identifies as male is single
senior citizen,male,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine senior citizen person who identifies as male has no high school diploma
senior citizen,male,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine senior citizen person who identifies as male has a high school graduate
senior citizen,male,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,Hispanic / Latine,education,a college degree,A Hispanic / Latine senior citizen person who identifies as male has a college degree
senior citizen,male,Hispanic / Latine,education,a higher degree,A Hispanic / Latine senior citizen person who identifies as male has a higher degree
senior citizen,male,Pacific Islander,religion,spiritual,A Pacific Islander senior citizen person who identifies as male is spiritual
senior citizen,male,Pacific Islander,religion,non spirtual,A Pacific Islander senior citizen person who identifies as male is non spirtual
senior citizen,male,Pacific Islander,finstat,below the poverty line,A Pacific Islander senior citizen person who identifies as male is below the poverty line
senior citizen,male,Pacific Islander,finstat,working class,A Pacific Islander senior citizen person who identifies as male is working class
senior citizen,male,Pacific Islander,finstat,middle class,A Pacific Islander senior citizen person who identifies as male is middle class
senior citizen,male,Pacific Islander,finstat,upper class,A Pacific Islander senior citizen person who identifies as male is upper class
senior citizen,male,Pacific Islander,circumstance,in a rush,A Pacific Islander senior citizen person who identifies as male is in a rush
senior citizen,male,Pacific Islander,circumstance,not in a rush,A Pacific Islander senior citizen person who identifies as male is not in a rush
senior citizen,male,Pacific Islander,marrystat,married,A Pacific Islander senior citizen person who identifies as male is married
senior citizen,male,Pacific Islander,marrystat,divorced,A Pacific Islander senior citizen person who identifies as male is divorced
senior citizen,male,Pacific Islander,marrystat,widowed,A Pacific Islander senior citizen person who identifies as male is widowed
senior citizen,male,Pacific Islander,marrystat,single,A Pacific Islander senior citizen person who identifies as male is single
senior citizen,male,Pacific Islander,education,no high school diploma,A Pacific Islander senior citizen person who identifies as male has no high school diploma
senior citizen,male,Pacific Islander,education,a high school graduate,A Pacific Islander senior citizen person who identifies as male has a high school graduate
senior citizen,male,Pacific Islander,education,an associates degree / some college,A Pacific Islander senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,Pacific Islander,education,a college degree,A Pacific Islander senior citizen person who identifies as male has a college degree
senior citizen,male,Pacific Islander,education,a higher degree,A Pacific Islander senior citizen person who identifies as male has a higher degree
senior citizen,male,White,religion,spiritual,A White senior citizen person who identifies as male is spiritual
senior citizen,male,White,religion,non spirtual,A White senior citizen person who identifies as male is non spirtual
senior citizen,male,White,finstat,below the poverty line,A White senior citizen person who identifies as male is below the poverty line
senior citizen,male,White,finstat,working class,A White senior citizen person who identifies as male is working class
senior citizen,male,White,finstat,middle class,A White senior citizen person who identifies as male is middle class
senior citizen,male,White,finstat,upper class,A White senior citizen person who identifies as male is upper class
senior citizen,male,White,circumstance,in a rush,A White senior citizen person who identifies as male is in a rush
senior citizen,male,White,circumstance,not in a rush,A White senior citizen person who identifies as male is not in a rush
senior citizen,male,White,marrystat,married,A White senior citizen person who identifies as male is married
senior citizen,male,White,marrystat,divorced,A White senior citizen person who identifies as male is divorced
senior citizen,male,White,marrystat,widowed,A White senior citizen person who identifies as male is widowed
senior citizen,male,White,marrystat,single,A White senior citizen person who identifies as male is single
senior citizen,male,White,education,no high school diploma,A White senior citizen person who identifies as male has no high school diploma
senior citizen,male,White,education,a high school graduate,A White senior citizen person who identifies as male has a high school graduate
senior citizen,male,White,education,an associates degree / some college,A White senior citizen person who identifies as male has an associates degree / some college
senior citizen,male,White,education,a college degree,A White senior citizen person who identifies as male has a college degree
senior citizen,male,White,education,a higher degree,A White senior citizen person who identifies as male has a higher degree
senior citizen,female,Native American,religion,spiritual,A Native American senior citizen person who identifies as female is spiritual
senior citizen,female,Native American,religion,non spirtual,A Native American senior citizen person who identifies as female is non spirtual
senior citizen,female,Native American,finstat,below the poverty line,A Native American senior citizen person who identifies as female is below the poverty line
senior citizen,female,Native American,finstat,working class,A Native American senior citizen person who identifies as female is working class
senior citizen,female,Native American,finstat,middle class,A Native American senior citizen person who identifies as female is middle class
senior citizen,female,Native American,finstat,upper class,A Native American senior citizen person who identifies as female is upper class
senior citizen,female,Native American,circumstance,in a rush,A Native American senior citizen person who identifies as female is in a rush
senior citizen,female,Native American,circumstance,not in a rush,A Native American senior citizen person who identifies as female is not in a rush
senior citizen,female,Native American,marrystat,married,A Native American senior citizen person who identifies as female is married
senior citizen,female,Native American,marrystat,divorced,A Native American senior citizen person who identifies as female is divorced
senior citizen,female,Native American,marrystat,widowed,A Native American senior citizen person who identifies as female is widowed
senior citizen,female,Native American,marrystat,single,A Native American senior citizen person who identifies as female is single
senior citizen,female,Native American,education,no high school diploma,A Native American senior citizen person who identifies as female has no high school diploma
senior citizen,female,Native American,education,a high school graduate,A Native American senior citizen person who identifies as female has a high school graduate
senior citizen,female,Native American,education,an associates degree / some college,A Native American senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,Native American,education,a college degree,A Native American senior citizen person who identifies as female has a college degree
senior citizen,female,Native American,education,a higher degree,A Native American senior citizen person who identifies as female has a higher degree
senior citizen,female,Asian,religion,spiritual,A Asian senior citizen person who identifies as female is spiritual
senior citizen,female,Asian,religion,non spirtual,A Asian senior citizen person who identifies as female is non spirtual
senior citizen,female,Asian,finstat,below the poverty line,A Asian senior citizen person who identifies as female is below the poverty line
senior citizen,female,Asian,finstat,working class,A Asian senior citizen person who identifies as female is working class
senior citizen,female,Asian,finstat,middle class,A Asian senior citizen person who identifies as female is middle class
senior citizen,female,Asian,finstat,upper class,A Asian senior citizen person who identifies as female is upper class
senior citizen,female,Asian,circumstance,in a rush,A Asian senior citizen person who identifies as female is in a rush
senior citizen,female,Asian,circumstance,not in a rush,A Asian senior citizen person who identifies as female is not in a rush
senior citizen,female,Asian,marrystat,married,A Asian senior citizen person who identifies as female is married
senior citizen,female,Asian,marrystat,divorced,A Asian senior citizen person who identifies as female is divorced
senior citizen,female,Asian,marrystat,widowed,A Asian senior citizen person who identifies as female is widowed
senior citizen,female,Asian,marrystat,single,A Asian senior citizen person who identifies as female is single
senior citizen,female,Asian,education,no high school diploma,A Asian senior citizen person who identifies as female has no high school diploma
senior citizen,female,Asian,education,a high school graduate,A Asian senior citizen person who identifies as female has a high school graduate
senior citizen,female,Asian,education,an associates degree / some college,A Asian senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,Asian,education,a college degree,A Asian senior citizen person who identifies as female has a college degree
senior citizen,female,Asian,education,a higher degree,A Asian senior citizen person who identifies as female has a higher degree
senior citizen,female,Black,religion,spiritual,A Black senior citizen person who identifies as female is spiritual
senior citizen,female,Black,religion,non spirtual,A Black senior citizen person who identifies as female is non spirtual
senior citizen,female,Black,finstat,below the poverty line,A Black senior citizen person who identifies as female is below the poverty line
senior citizen,female,Black,finstat,working class,A Black senior citizen person who identifies as female is working class
senior citizen,female,Black,finstat,middle class,A Black senior citizen person who identifies as female is middle class
senior citizen,female,Black,finstat,upper class,A Black senior citizen person who identifies as female is upper class
senior citizen,female,Black,circumstance,in a rush,A Black senior citizen person who identifies as female is in a rush
senior citizen,female,Black,circumstance,not in a rush,A Black senior citizen person who identifies as female is not in a rush
senior citizen,female,Black,marrystat,married,A Black senior citizen person who identifies as female is married
senior citizen,female,Black,marrystat,divorced,A Black senior citizen person who identifies as female is divorced
senior citizen,female,Black,marrystat,widowed,A Black senior citizen person who identifies as female is widowed
senior citizen,female,Black,marrystat,single,A Black senior citizen person who identifies as female is single
senior citizen,female,Black,education,no high school diploma,A Black senior citizen person who identifies as female has no high school diploma
senior citizen,female,Black,education,a high school graduate,A Black senior citizen person who identifies as female has a high school graduate
senior citizen,female,Black,education,an associates degree / some college,A Black senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,Black,education,a college degree,A Black senior citizen person who identifies as female has a college degree
senior citizen,female,Black,education,a higher degree,A Black senior citizen person who identifies as female has a higher degree
senior citizen,female,Hispanic / Latine,religion,spiritual,A Hispanic / Latine senior citizen person who identifies as female is spiritual
senior citizen,female,Hispanic / Latine,religion,non spirtual,A Hispanic / Latine senior citizen person who identifies as female is non spirtual
senior citizen,female,Hispanic / Latine,finstat,below the poverty line,A Hispanic / Latine senior citizen person who identifies as female is below the poverty line
senior citizen,female,Hispanic / Latine,finstat,working class,A Hispanic / Latine senior citizen person who identifies as female is working class
senior citizen,female,Hispanic / Latine,finstat,middle class,A Hispanic / Latine senior citizen person who identifies as female is middle class
senior citizen,female,Hispanic / Latine,finstat,upper class,A Hispanic / Latine senior citizen person who identifies as female is upper class
senior citizen,female,Hispanic / Latine,circumstance,in a rush,A Hispanic / Latine senior citizen person who identifies as female is in a rush
senior citizen,female,Hispanic / Latine,circumstance,not in a rush,A Hispanic / Latine senior citizen person who identifies as female is not in a rush
senior citizen,female,Hispanic / Latine,marrystat,married,A Hispanic / Latine senior citizen person who identifies as female is married
senior citizen,female,Hispanic / Latine,marrystat,divorced,A Hispanic / Latine senior citizen person who identifies as female is divorced
senior citizen,female,Hispanic / Latine,marrystat,widowed,A Hispanic / Latine senior citizen person who identifies as female is widowed
senior citizen,female,Hispanic / Latine,marrystat,single,A Hispanic / Latine senior citizen person who identifies as female is single
senior citizen,female,Hispanic / Latine,education,no high school diploma,A Hispanic / Latine senior citizen person who identifies as female has no high school diploma
senior citizen,female,Hispanic / Latine,education,a high school graduate,A Hispanic / Latine senior citizen person who identifies as female has a high school graduate
senior citizen,female,Hispanic / Latine,education,an associates degree / some college,A Hispanic / Latine senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,Hispanic / Latine,education,a college degree,A Hispanic / Latine senior citizen person who identifies as female has a college degree
senior citizen,female,Hispanic / Latine,education,a higher degree,A Hispanic / Latine senior citizen person who identifies as female has a higher degree
senior citizen,female,Pacific Islander,religion,spiritual,A Pacific Islander senior citizen person who identifies as female is spiritual
senior citizen,female,Pacific Islander,religion,non spirtual,A Pacific Islander senior citizen person who identifies as female is non spirtual
senior citizen,female,Pacific Islander,finstat,below the poverty line,A Pacific Islander senior citizen person who identifies as female is below the poverty line
senior citizen,female,Pacific Islander,finstat,working class,A Pacific Islander senior citizen person who identifies as female is working class
senior citizen,female,Pacific Islander,finstat,middle class,A Pacific Islander senior citizen person who identifies as female is middle class
senior citizen,female,Pacific Islander,finstat,upper class,A Pacific Islander senior citizen person who identifies as female is upper class
senior citizen,female,Pacific Islander,circumstance,in a rush,A Pacific Islander senior citizen person who identifies as female is in a rush
senior citizen,female,Pacific Islander,circumstance,not in a rush,A Pacific Islander senior citizen person who identifies as female is not in a rush
senior citizen,female,Pacific Islander,marrystat,married,A Pacific Islander senior citizen person who identifies as female is married
senior citizen,female,Pacific Islander,marrystat,divorced,A Pacific Islander senior citizen person who identifies as female is divorced
senior citizen,female,Pacific Islander,marrystat,widowed,A Pacific Islander senior citizen person who identifies as female is widowed
senior citizen,female,Pacific Islander,marrystat,single,A Pacific Islander senior citizen person who identifies as female is single
senior citizen,female,Pacific Islander,education,no high school diploma,A Pacific Islander senior citizen person who identifies as female has no high school diploma
senior citizen,female,Pacific Islander,education,a high school graduate,A Pacific Islander senior citizen person who identifies as female has a high school graduate
senior citizen,female,Pacific Islander,education,an associates degree / some college,A Pacific Islander senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,Pacific Islander,education,a college degree,A Pacific Islander senior citizen person who identifies as female has a college degree
senior citizen,female,Pacific Islander,education,a higher degree,A Pacific Islander senior citizen person who identifies as female has a higher degree
senior citizen,female,White,religion,spiritual,A White senior citizen person who identifies as female is spiritual
senior citizen,female,White,religion,non spirtual,A White senior citizen person who identifies as female is non spirtual
senior citizen,female,White,finstat,below the poverty line,A White senior citizen person who identifies as female is below the poverty line
senior citizen,female,White,finstat,working class,A White senior citizen person who identifies as female is working class
senior citizen,female,White,finstat,middle class,A White senior citizen person who identifies as female is middle class
senior citizen,female,White,finstat,upper class,A White senior citizen person who identifies as female is upper class
senior citizen,female,White,circumstance,in a rush,A White senior citizen person who identifies as female is in a rush
senior citizen,female,White,circumstance,not in a rush,A White senior citizen person who identifies as female is not in a rush
senior citizen,female,White,marrystat,married,A White senior citizen person who identifies as female is married
senior citizen,female,White,marrystat,divorced,A White senior citizen person who identifies as female is divorced
senior citizen,female,White,marrystat,widowed,A White senior citizen person who identifies as female is widowed
senior citizen,female,White,marrystat,single,A White senior citizen person who identifies as female is single
senior citizen,female,White,education,no high school diploma,A White senior citizen person who identifies as female has no high school diploma
senior citizen,female,White,education,a high school graduate,A White senior citizen person who identifies as female has a high school graduate
senior citizen,female,White,education,an associates degree / some college,A White senior citizen person who identifies as female has an associates degree / some college
senior citizen,female,White,education,a college degree,A White senior citizen person who identifies as female has a college degree
senior citizen,female,White,education,a higher degree,A White senior citizen person who identifies as female has a higher degree
